2026-05-13 20:26:53,338 | INFO    | jobintel | lever[attentive] 0 jobs
2026-05-13 20:26:53,777 | WARNING | jobintel | fetch_json failed for https://api.lever.co/v0/postings/ramp?mode=json: Cannot send a request, as the client has been closed.
2026-05-13 20:26:54,199 | INFO    | jobintel | ashby[openai] 539 jobs
2026-05-13 20:26:54,200 | WARNING | jobintel | fetch_json failed for https://api.lever.co/v0/postings/netflix?mode=json: Cannot send a request, as the client has been closed.
2026-05-13 20:26:55,184 | INFO    | jobintel | ashby[vanta] 87 jobs
2026-05-13 20:26:55,469 | INFO    | jobintel | ashby[posthog] 14 jobs
2026-05-13 20:26:55,671 | INFO    | jobintel | ashby[linear] 0 jobs
2026-05-13 20:26:55,845 | WARNING | jobintel | fetch_json failed for https://boards-api.greenhouse.io/v1/boards/doordash/jobs?content=true: RetryError[<Future at 0x1173f4250 state=finished raised HTTPStatusError>]
2026-05-13 20:26:55,995 | WARNING | jobintel | fetch_json failed for https://api.lever.co/v0/postings/benchling?mode=json: Cannot send a request, as the client has been closed.
2026-05-13 20:26:56,534 | WARNING | jobintel | fetch_json failed for https://arbeitnow.com/api/job-board-api: RetryError[<Future at 0x116798280 state=finished raised HTTPStatusError>]
2026-05-13 20:26:56,647 | WARNING | jobintel | fetch_json failed for https://boards-api.greenhouse.io/v1/boards/plaid/jobs?content=true: RetryError[<Future at 0x117270220 state=finished raised HTTPStatusError>]
2026-05-13 20:26:56,874 | WARNING | jobintel | fetch_json failed for https://boards-api.greenhouse.io/v1/boards/coinbase/jobs?content=true: RetryError[<Future at 0x1167210d0 state=finished raised HTTPStatusError>]
2026-05-13 20:26:59,219 | INFO    | jobintel | remotive 180 jobs
2026-05-13 20:27:00,695 | INFO    | jobintel | ashby[ramp] 108 jobs
2026-05-13 20:27:00,696 | WARNING | jobintel | Scraper error: year 55205 is out of range
2026-05-13 20:27:00,696 | INFO    | jobintel | Total fetched (pre-filter): 1814
2026-05-13 20:27:00,698 | INFO    | jobintel | Pruned 0 expired jobs (older than 24h)
2026-05-13 20:27:00,713 | INFO    | jobintel | Persist summary: {'fetched': 1814, 'inserted': 0, 'updated': 67, 'skipped_stale': 1747, 'pruned_expired': 0}
2026-05-13 20:48:42,866 | INFO    | jobintel | Starting parallel scrape — 7 sources, 2 keywords, 0 extra URLs
2026-05-13 20:48:42,884 | INFO    | jobintel | Adzuna keys not set — skipping.
2026-05-13 20:48:43,096 | INFO    | jobintel | remoteok 98 jobs
2026-05-13 20:48:43,168 | INFO    | jobintel | greenhouse[airbnb] 234 jobs
2026-05-13 20:48:43,267 | INFO    | jobintel | greenhouse[stripe] 486 jobs
2026-05-13 20:48:43,438 | INFO    | jobintel | greenhouse[robinhood] 138 jobs
2026-05-13 20:48:43,867 | INFO    | jobintel | greenhouse[figma] 158 jobs
2026-05-13 20:48:44,053 | INFO    | jobintel | greenhouse[instacart] 121 jobs
2026-05-13 20:48:44,696 | INFO    | jobintel | lever[netflix] 0 jobs
